35.718059230493,-120.7653252854733,1797
35.71804205472668,-120.7654296925857,1747
35.71801183136492,-120.7654681486149,1697
35.71797025379254,-120.7654441550465,1647
35.717922650124,-120.765373620582,1597
35.71787341326004,-120.7652688211529,1547
35.71782613824122,-120.765143794978,1497
35.71778318744972,-120.7650111692252,1447
35.71774480264294,-120.7648775829857,1397
35.71771006404621,-120.7647410292861,1347
35.71767910047311,-120.7645937608601,1297
35.71765331531794,-120.7644308313827,1247
35.71763569844205,-120.7642538924365,1197
35.71764375618862,-120.7640674651953,1147
35.71766465118387,-120.7638773173248,1097
35.7176976781681,-120.763689312386,1047
35.71774230417042,-120.7635094936658,997
35.71777,-120.763497,947
